Generated by GetData Graph Digitizer 2.25.0.32 on July 05 2021, 15:04
from file 'E:\Python\MachineLearning\Crack\Flexure.jpg'

Line #1
 7.01754385964912e-003    7.64227642276423e-002
 7.01754385964912e-003    8.13008130081301e-002
 1.05263157894737e-002    8.61788617886179e-002
 7.01754385964912e-003    9.26829268292683e-002
 7.01754385964912e-003    9.75609756097561e-002
 1.05263157894737e-002    1.05691056910569e-001
 7.01754385964912e-003    1.08943089430894e-001
 3.50877192982456e-003    1.12195121951220e-001
 3.50877192982456e-003    1.17073170731707e-001
 7.01754385964912e-003    8.61788617886179e-002
 7.01754385964912e-003    7.47967479674797e-002
 1.05263157894737e-002    7.64227642276423e-002
 1.05263157894737e-002    7.96747967479675e-002
 1.05263157894737e-002    7.15447154471545e-002
 1.05263157894737e-002    6.66666666666667e-002
 1.05263157894737e-002    6.34146341463415e-002
 1.05263157894737e-002    6.01626016260163e-002
 1.05263157894737e-002    5.69105691056911e-002
 1.05263157894737e-002    5.04065040650407e-002
 7.01754385964912e-003    4.55284552845528e-002
 1.05263157894737e-002    4.55284552845528e-002
 7.01754385964912e-003    5.85365853658537e-002
 7.01754385964912e-003    6.34146341463415e-002
 7.01754385964912e-003    6.82926829268293e-002
 3.50877192982456e-003    5.69105691056911e-002
 3.50877192982456e-003    5.85365853658537e-002
 3.50877192982456e-003    5.04065040650407e-002
 3.50877192982456e-003    4.55284552845528e-002
 3.50877192982456e-003    4.22764227642276e-002
 3.50877192982456e-003    3.90243902439024e-002
 7.01754385964912e-003    4.06504065040650e-002
 1.05263157894737e-002    3.73983739837398e-002
 1.05263157894737e-002    3.41463414634146e-002
 1.05263157894737e-002    3.08943089430894e-002
 7.01754385964912e-003    2.27642276422764e-002
 1.40350877192982e-002    1.78861788617886e-002
 1.40350877192982e-002    2.27642276422764e-002
 3.50877192982456e-003    2.92682926829268e-002
 3.50877192982456e-003    3.57723577235772e-002
 3.50877192982456e-003    2.60162601626016e-002
 3.50877192982456e-003    3.08943089430894e-002
 3.50877192982456e-003    3.25203252032520e-002
 3.50877192982456e-003    1.95121951219512e-002
 3.50877192982456e-003    1.46341463414634e-002
 3.50877192982456e-003    1.13821138211382e-002
 7.01754385964912e-003    1.13821138211382e-002
 1.05263157894737e-002    8.13008130081301e-003
 3.50877192982456e-003    8.13008130081301e-003
 3.50877192982456e-003    4.87804878048780e-003
 7.01754385964912e-003    8.13008130081301e-003
 3.50877192982456e-003    9.75609756097561e-003
 3.50877192982456e-003    3.25203252032520e-003
 7.01754385964912e-003    4.87804878048780e-003
 7.01754385964912e-003    0.00000000000000e+000
 3.50877192982456e-003    1.62601626016260e-003
 3.50877192982456e-003    6.50406504065041e-003
 7.01754385964912e-003    1.78861788617886e-002
 1.05263157894737e-002    2.43902439024390e-002
 7.01754385964912e-003    3.08943089430894e-002
 1.05263157894737e-002    2.76422764227642e-002
 3.50877192982456e-003    2.27642276422764e-002
 7.01754385964912e-003    3.57723577235772e-002
 1.05263157894737e-002    4.71544715447155e-002
 1.05263157894737e-002    4.06504065040650e-002
 1.05263157894737e-002    5.36585365853659e-002
 1.05263157894737e-002    8.29268292682927e-002

Line #2
 3.50877192982456e-003    7.96747967479675e-002
 1.75438596491228e-002    7.96747967479675e-002
 3.15789473684211e-002    7.64227642276423e-002
 4.91228070175439e-002    7.31707317073171e-002
 6.66666666666667e-002    7.31707317073171e-002
 9.12280701754386e-002    7.15447154471545e-002
 1.12280701754386e-001    7.31707317073171e-002
 1.33333333333333e-001    7.31707317073171e-002
 1.47368421052632e-001    6.99186991869919e-002
 1.68421052631579e-001    6.50406504065041e-002
 1.78947368421053e-001    6.17886178861789e-002
 1.89473684210526e-001    6.17886178861789e-002
 2.14035087719298e-001    6.01626016260163e-002

Line #3
 0.00000000000000e+000    1.36585365853659e-001
 1.75438596491228e-002    1.34959349593496e-001
 4.21052631578947e-002    1.34959349593496e-001
 5.26315789473684e-002    1.31707317073171e-001
 7.36842105263158e-002    1.28455284552846e-001
 1.01754385964912e-001    1.23577235772358e-001
 1.22807017543860e-001    1.21951219512195e-001
 1.40350877192982e-001    1.17073170731707e-001
 1.54385964912281e-001    1.15447154471545e-001
 1.61403508771930e-001    1.12195121951220e-001
 1.85964912280702e-001    1.08943089430894e-001
 2.07017543859649e-001    1.05691056910569e-001

Line #4
 0.00000000000000e+000    2.19512195121951e-001
 1.75438596491228e-002    2.19512195121951e-001
 3.50877192982456e-002    2.17886178861789e-001
 5.26315789473684e-002    2.17886178861789e-001
 6.66666666666667e-002    2.16260162601626e-001
 8.77192982456140e-002    2.13008130081301e-001
 1.01754385964912e-001    2.11382113821138e-001
